gender (m=1 f=0),NE,MW,S,W,MD,Opioid,NonOpioid,over
0,0,0,1,0,1,88,2228,1
1,0,0,1,0,1,909,18304,1
1,0,0,1,0,1,0,80,0
1,0,0,1,0,1,143,756,1
1,0,1,0,0,1,168,3450,1
1,0,1,0,0,1,630,14292,1
0,0,0,1,0,0,0,13,0
1,1,0,0,0,1,0,3185,0
1,0,1,0,0,1,0,16,0
0,0,0,1,0,1,386,6387,1
1,1,0,0,0,1,0,60,0
1,0,1,0,0,1,0,14,0
1,0,0,0,1,1,128,1839,1
1,0,0,1,0,1,440,113,1
1,0,0,1,0,1,0,47,0
1,0,0,0,1,0,76,354,1
0,0,1,0,0,0,60,1311,1
1,0,1,0,0,1,0,18,0
1,0,1,0,0,1,14,0,1
1,0,0,1,0,1,0,257,0
1,1,0,0,0,1,0,1047,1
0,0,0,1,0,1,0,312,0
0,0,1,0,0,0,0,13,0
1,1,0,0,0,1,0,824,0
1,0,0,0,0,1,0,370,0
1,1,0,0,0,1,12,4290,1
1,0,0,1,0,1,218,9650,1
1,0,1,0,0,1,349,10288,1
0,0,0,1,0,1,0,69,0
0,0,0,0,1,0,0,26,0
1,0,1,0,0,1,0,52,0
0,0,0,1,0,1,0,32,0
1,0,1,0,0,1,142,162,1
1,0,0,1,0,1,140,1605,1
1,0,0,1,0,1,25,0,1
1,0,0,0,1,1,0,31,0
0,0,0,1,0,1,0,852,0
1,0,0,1,0,1,0,55,0
1,0,0,1,0,1,12,2010,1
1,0,0,1,0,1,0,122,0
1,0,0,0,1,1,462,4686,1
1,1,0,0,0,1,37,3453,1
0,1,0,0,0,0,31,30,1
1,0,0,1,0,1,0,32,0
1,1,0,0,0,0,0,53,0
1,0,0,1,0,1,41,667,1
1,1,0,0,0,1,0,23,1
0,1,0,0,0,0,0,1849,0
1,1,0,0,0,1,64,4504,1
0,0,0,0,1,1,0,18,0
1,0,0,1,0,1,0,183,0
1,1,0,0,0,1,25,2107,1
1,1,0,0,0,1,51,0,1
1,0,0,1,0,1,0,1163,0
1,0,0,1,0,1,11,1198,1
1,1,0,0,0,1,13,11,1
1,0,1,0,0,1,0,29,0
0,0,1,0,0,1,0,41,0
1,0,0,1,0,1,0,127,0
0,1,0,0,0,0,14,0,1
1,0,0,1,0,1,46,14,1
1,0,0,0,1,1,18,1100,1
1,0,1,0,0,1,0,73,1
1,0,0,1,0,1,0,113,0
0,0,1,0,0,1,11,785,1
1,0,0,1,0,1,219,2515,1
1,0,0,1,0,1,34,2614,1
1,0,0,1,0,1,0,53,0
1,0,0,0,1,1,19,76,1
1,0,0,1,0,1,489,3751,1
0,1,0,0,0,1,21,36,1
0,1,0,0,0,0,32,11,1
1,0,1,0,0,1,0,91,1
0,1,0,0,0,1,0,19,1
1,0,1,0,0,1,0,3702,0
0,0,0,1,0,1,0,16,0
0,0,1,0,0,1,0,29,0
0,0,1,0,0,0,0,36,0
1,0,0,0,1,1,0,15,0
1,0,0,0,1,1,0,110,0
1,0,1,0,0,1,60,1517,1
1,0,0,1,0,1,86,175,1
1,0,0,1,0,1,701,16836,1
1,0,0,0,1,1,127,2997,1
1,0,1,0,0,1,76,2778,1
0,0,0,0,1,0,0,12,0
0,0,0,1,0,1,36,945,1
0,1,0,0,0,1,233,3240,1
0,1,0,0,0,0,447,13812,1
1,0,0,0,1,1,674,8157,1
1,0,0,1,0,1,55,430,1
1,0,0,0,1,1,49,2395,1
1,0,0,0,1,1,13,38,1
0,1,0,0,0,1,0,4754,0
0,1,0,0,0,1,0,24,0
0,0,0,1,0,0,0,181,0
1,1,0,0,0,0,47,0,1
0,0,0,0,1,0,43,177,1
0,0,0,1,0,1,12,94,1
1,0,1,0,0,1,328,6508,1
1,1,0,0,0,1,78,5163,1
1,0,0,1,0,0,0,42,0
0,0,1,0,0,1,158,1665,1
1,0,1,0,0,1,615,7902,1
0,0,0,1,0,0,0,51,0
0,0,0,0,1,0,17,238,1
1,0,0,1,0,1,697,14490,1
1,0,0,0,1,1,34,228,1
0,0,0,1,0,1,302,2948,1
1,0,1,0,0,1,103,911,1
0,1,0,0,0,0,0,408,0
0,1,0,0,0,0,29,2490,1
1,1,0,0,0,1,407,4787,1
0,1,0,0,0,0,0,69,0
0,0,0,1,0,0,0,14,0
0,0,0,1,0,0,463,2293,1
0,0,0,1,0,1,0,15,0
1,0,0,0,0,1,14,652,1
1,0,1,0,0,1,0,5525,1
1,0,0,1,0,1,0,2185,0
1,0,0,1,0,1,0,82,1
1,0,1,0,0,1,19,216,1
1,0,0,1,0,1,0,310,0
